# 稳定点数据 | 2026-03-31 17:09:02
index,cmd_x,cmd_y,cmd_z,cmd_rx,cmd_ry,cmd_rz,end_j1,end_j2,end_j3,end_j4,end_j5,end_j6,end_x,end_y,end_z,end_rx,end_ry,end_rz
91,-0.603227,-0.212017,0.768822,-1.190569,-1.135742,1.198545,0.095015,-1.615238,1.775467,-3.355923,-1.717122,-0.009373,-0.603199,-0.211974,0.768831,-1.190562,-1.135683,1.198508
92,-0.749914,-0.359878,0.809351,-1.170078,-1.304352,1.278251,0.263678,-1.315359,1.359150,-3.165134,-1.730093,-0.000475,-0.749866,-0.359891,0.809402,-1.170036,-1.304208,1.278318
93,-0.623780,-0.146172,0.747934,-1.038219,-1.268952,1.408986,-0.073445,-1.608014,1.813306,-3.454127,-1.303747,0.027009,-0.623800,-0.146156,0.747867,-1.038351,-1.268980,1.408857
94,-0.712342,-0.333278,0.884798,-1.391292,-1.193296,1.031043,0.273319,-1.395490,1.302628,-2.889741,-1.997373,0.062995,-0.712304,-0.333218,0.884824,-1.391324,-1.193187,1.031007
95,-0.794990,-0.228123,0.709085,-1.143517,-1.237857,1.286141,0.076466,-1.295426,1.520376,-3.404317,-1.571658,-0.003632,-0.794967,-0.228120,0.709118,-1.143415,-1.237801,1.286024
96,-0.760774,-0.090205,0.940975,-1.128445,-1.262208,1.309665,-0.130235,-1.416343,1.260091,-3.021868,-1.333442,0.005128,-0.760746,-0.090195,0.941013,-1.128493,-1.262144,1.309638
97,-0.761002,-0.259765,0.683686,-1.209589,-1.359428,1.250579,0.120586,-1.348816,1.613241,-3.322169,-1.578984,-0.002457,-0.761024,-0.259718,0.683661,-1.209534,-1.359440,1.250496
98,-0.647433,-0.271907,0.823576,-1.163634,-1.251116,1.269599,0.171200,-1.529978,1.587982,-3.214156,-1.674078,-0.003864,-0.647411,-0.271886,0.823621,-1.163565,-1.251003,1.269555
99,-0.803701,-0.308604,0.798840,-1.181386,-1.187850,1.229295,0.192690,-1.251717,1.303598,-3.228599,-1.761585,-0.010802,-0.803740,-0.308581,0.798770,-1.181466,-1.187880,1.229184
100,-0.760528,-0.119941,0.737157,-1.093744,-1.249446,1.342514,-0.088740,-1.394801,1.598972,-3.417914,-1.353785,0.012717,-0.760566,-0.119881,0.737060,-1.093932,-1.249469,1.342331
101,-0.717257,-0.064075,0.674106,-1.052459,-1.057439,1.304336,-0.166457,-1.415556,1.756637,-3.692931,-1.406591,0.032480,-0.717278,-0.064063,0.674087,-1.052521,-1.057359,1.304333
102,-0.705322,-0.290416,0.685145,-1.292675,-1.256360,1.142952,0.197743,-1.408722,1.681010,-3.316874,-1.800363,0.019492,-0.705311,-0.290372,0.685108,-1.292702,-1.256393,1.142786
103,-0.745558,-0.272633,0.826172,-1.254603,-1.062937,1.101493,0.179410,-1.356634,1.390183,-3.213815,-1.919066,-0.016565,-0.745543,-0.272600,0.826165,-1.254607,-1.062838,1.101373
104,-0.737669,-0.245706,0.778674,-1.241643,-1.499646,1.236162,0.094363,-1.443979,1.536363,-3.040380,-1.483958,-0.019897,-0.737688,-0.245759,0.778594,-1.241598,-1.499745,1.236144
